molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL1784774,4600.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,5.337242168318426
CHEMBL1784771,250000.0,nM,CC(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,3.6020599913279625
CHEMBL1784772,52800.0,nM,CC(=O)N[C@@H](CC(C(=O)O)C(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,4.277366077466188
CHEMBL1784773,250000.0,nM,CC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O)[C@@H](C)OP(=O)(O)O,3.6020599913279625
CHEMBL1784704,15000.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)[C@@H](C)O,4.823908740944319
CHEMBL1784770,35000.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.455931955649724
CHEMBL1784703,3200.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(N)=O)C(C)C,5.494850021680094
CHEMBL1784775,30100.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.521433504406157
CHEMBL1784776,7100.0,nM,CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](COP(=O)(O)O)NC(C)=O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,5.1487416512809245
CHEMBL1784777,18400.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.735182176990463
CHEMBL2369531,17700.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(N)=O)[C@@H](C)O,4.752026733638194
CHEMBL2369532,171700.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1cccc2ccccc12)C(N)=O)[C@@H](C)O,3.7652297048390837
CHEMBL1784779,14900.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O,4.826813731587726
CHEMBL1784780,98400.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.007004901568658
CHEMBL1784781,250000.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(N)=O,3.6020599913279625
CHEMBL1784782,250000.0,nM,CC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](COP(=O)(O)O)C(N)=O)[C@H](C)O,3.6020599913279625
CHEMBL1784783,10800.0,nM,C[C@@H](O)[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)COP(=O)(O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,4.966576244513051
CHEMBL1784784,1000.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,6.0
CHEMBL1784785,1600.0,nM,CC(=O)N[C@@H](COP(=O)(O)O)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)C,5.795880017344075
CHEMBL5723350,310.0,nM,O=C(CNC(=O)[C@H](COP(=O)(O)O)NC(=O)CCc1c[nH]c2ccccc12)NCCCCc1ccccc1,6.508638306165727
