molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL134277,215.0,nM,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccsc1)Oc1ccc(F)cc1-3,6.667561540084395
CHEMBL146794,77.0,nM,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCc1ccc(O)c(C(N)=O)c1,7.113509274827518
CHEMBL2112885,90.0,nM,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3OC1C[C@H](NCNC(=O)c2cc(COCC#CCN3C(=O)N(c4ccc(C#N)c(C(F)(F)F)c4)C(=O)C3(C)C)ccc2O)[C@H](O)[C@H](C)O1,7.045757490560675
CHEMBL336353,1500.0,nM,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1N(C)C)Oc1ccc(F)cc1-3,5.823908740944319
CHEMBL413309,900.0,nM,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccccc1)Oc1c(F)cccc1-3,6.045757490560675
CHEMBL27577,1000.0,nM,NC(=O)c1ccccc1O,6.0
CHEMBL717,6.1,nM,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8.214670164989233
CHEMBL348495,332.0,nM,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCOCCOCc1ccc(O)c(C(N)=O)c1,6.478861916295964
CHEMBL347556,346.0,nM,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1CCOCCN1CCN(CCOCc2ccc(O)c(C(N)=O)c2)CC1,6.460923901207224
CHEMBL336169,258.0,nM,CC1=CC(C)(C)Nc2ccc3c(c21)/C(=C/c1ccco1)Oc1ccc(F)cc1-3,6.58838029403677
CHEMBL806,154.0,nM,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,6.812479279163537
CHEMBL103,37.0,nM,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.431798275933005
