molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL151495,40.0,nM,NC1=NC(OCc2ccnc(Cl)c2)c2[nH]cnc2N1,7.3979400086720375
CHEMBL151495,50.0,nM,NC1=NC(OCc2ccnc(Cl)c2)c2[nH]cnc2N1,7.301029995663981
CHEMBL336947,32.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCCCCCCCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,7.494850021680094
CHEMBL407874,620.0,nM,Nc1nc(OCc2ccccc2)c2nc[nH]c2n1,6.2076083105017466
CHEMBL134079,450.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCCCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,6.346787486224656
CHEMBL336215,250.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CC#CCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,6.6020599913279625
CHEMBL131510,30.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCCCCCCCCCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,7.522878745280337
CHEMBL151552,250.0,nM,NC1=NC(OCc2cncc(Br)c2)c2[nH]cnc2N1,6.6020599913279625
CHEMBL151552,200.0,nM,NC1=NC(OCc2cncc(Br)c2)c2[nH]cnc2N1,6.698970004336019
CHEMBL150427,350.0,nM,NC1=NC(OCc2cnco2)c2[nH]cnc2N1,6.455931955649724
CHEMBL150427,220.0,nM,NC1=NC(OCc2cnco2)c2[nH]cnc2N1,6.657577319177793
CHEMBL129850,30.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCCCCCCCCCCCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,7.522878745280337
CHEMBL434225,2000.0,nM,Nc1nc(OCc2ccccc2)c2nnn(CCO[C@@H]3OC(CO)[C@H](O)[C@H](O)C3O)c2n1,5.698970004336019
CHEMBL345550,33.0,nM,NC1=NC(OCc2cncs2)c2[nH]cnc2N1,7.481486060122112
CHEMBL345550,60.0,nM,NC1=NC(OCc2cncs2)c2[nH]cnc2N1,7.221848749616356
CHEMBL336404,25000.0,nM,Nc1nc(OCc2ccccc2)c2ncn(CCO[C@@H]3OC(CO)[C@H](O)[C@H](O)C3O)c2n1,4.6020599913279625
CHEMBL146769,5.0,nM,NC1=NC(OCc2ccc(Br)s2)c2[nH]cnc2N1,8.301029995663981
CHEMBL146769,10.0,nM,NC1=NC(OCc2ccc(Br)s2)c2[nH]cnc2N1,8.0
CHEMBL333928,38.0,nM,Nc1nc(OCc2ccccc2)c2[nH]nnc2n1,7.42021640338319
CHEMBL146768,80.0,nM,NC1=NC(OCc2ccco2)c2[nH]cnc2N1,7.096910013008056
CHEMBL146768,120.0,nM,NC1=NC(OCc2ccco2)c2[nH]cnc2N1,6.920818753952375
CHEMBL339133,9.0,nM,Nc1nc(OCc2cc(Br)cs2)c2[nH]cnc2n1,8.045757490560675
CHEMBL150918,230.0,nM,NC1=NC(OCc2cnc3c(c2)OCO3)c2[nH]cnc2N1,6.638272163982407
CHEMBL150918,90.0,nM,NC1=NC(OCc2cnc3c(c2)OCO3)c2[nH]cnc2N1,7.045757490560675
CHEMBL339016,450.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCCCCCO[C@H]3OC(CO)[C@@H](O)[C@@H](O)C3O)c2n1,6.346787486224656
CHEMBL407874,40.0,nM,Nc1nc(OCc2ccccc2)c2nc[nH]c2n1,7.3979400086720375
CHEMBL407874,100.0,nM,Nc1nc(OCc2ccccc2)c2nc[nH]c2n1,7.0
CHEMBL150324,70.0,nM,NC1=NC(OCc2cnsc2)c2[nH]cnc2N1,7.154901959985743
CHEMBL150324,70.0,nM,NC1=NC(OCc2cnsc2)c2[nH]cnc2N1,7.154901959985743
CHEMBL342497,430.0,nM,NC1=NC(OCc2cccnc2)c2[nH]cnc2N1,6.366531544420414
CHEMBL342497,220.0,nM,NC1=NC(OCc2cccnc2)c2[nH]cnc2N1,6.657577319177793
CHEMBL147472,8500.0,nM,Cn1cncc1COC1N=C(N)Nc2[nH]cnc21,5.070581074285707
CHEMBL147472,21000.0,nM,Cn1cncc1COC1N=C(N)Nc2[nH]cnc21,4.6777807052660805
CHEMBL131351,680.0,nM,Nc1nc(OCc2cc(Br)cs2)c2ncn(CCO[C@@H]3OC(CO)[C@H](O)[C@H](O)C3O)c2n1,6.167491087293763
CHEMBL151784,1400.0,nM,NC1=NC(OCc2ccc[n+]([O-])c2)c2[nH]cnc2N1,5.853871964321762
CHEMBL151784,5400.0,nM,NC1=NC(OCc2ccc[n+]([O-])c2)c2[nH]cnc2N1,5.267606240177032
CHEMBL146734,130.0,nM,NC1=NC(OCc2ccncc2)c2[nH]cnc2N1,6.886056647693163
CHEMBL146734,200.0,nM,NC1=NC(OCc2ccncc2)c2[nH]cnc2N1,6.698970004336019
CHEMBL151785,200.0,nM,NC1=NC(OCc2ccc(Cl)nc2)c2[nH]cnc2N1,6.698970004336019
CHEMBL151785,120.0,nM,NC1=NC(OCc2ccc(Cl)nc2)c2[nH]cnc2N1,6.920818753952375
CHEMBL151579,18.0,nM,NC1=NC(OCc2cccs2)c2[nH]cnc2N1,7.7447274948966935
CHEMBL151579,30.0,nM,NC1=NC(OCc2cccs2)c2[nH]cnc2N1,7.522878745280337
CHEMBL146977,35000.0,nM,NC1=NC(OCc2ccccn2)c2[nH]cnc2N1,4.455931955649724
CHEMBL146977,6000.0,nM,NC1=NC(OCc2ccccn2)c2[nH]cnc2N1,5.221848749616356
CHEMBL130392,1000000.0,nM,COC(COc1[nH]c(N)nc2ncnc1-2)(OC)c1ccccc1,3.0
CHEMBL270982,16000.0,nM,C=C(CC)COc1nc(N)nc2[nH]cnc12,4.795880017344075
CHEMBL337677,3.0,nM,Nc1nc(Oc2cccs2)c2[nH]cnc2n1,8.522878745280337
CHEMBL406419,1000000.0,nM,CCOc1nc(N)nc2[nH]cnc12,3.0
CHEMBL129960,1000000.0,nM,CC/C=C\CCOc1[nH]c(N)nc2ncnc1-2,3.0
CHEMBL270946,493000.0,nM,CCCCOc1nc(N)nc2[nH]cnc12,3.30715308072277
CHEMBL133293,1000000.0,nM,Nc1nc(OCC2CCC2)c2[nH]cnc2n1,3.0
CHEMBL325053,8500.0,nM,C=CCOc1nc(N)nc2nc[nH]c12,5.070581074285707
CHEMBL325053,2700.0,nM,C=CCOc1nc(N)nc2nc[nH]c12,5.568636235841013
CHEMBL325053,5100.0,nM,C=CCOc1nc(N)nc2nc[nH]c12,5.292429823902063
CHEMBL446625,548000.0,nM,Nc1nc(OCCc2ccccc2)c2nc[nH]c2n1,3.261219441515631
CHEMBL405197,1000000.0,nM,CCC(COc1nc(N)nc2[nH]cnc12)(OC)OC,3.0
CHEMBL272689,192000.0,nM,CC(=O)COc1nc(N)nc2[nH]cnc12,3.7166987712964503
CHEMBL272689,95000.0,nM,CC(=O)COc1nc(N)nc2[nH]cnc12,4.022276394711152
CHEMBL272689,119000.0,nM,CC(=O)COc1nc(N)nc2[nH]cnc12,3.9244530386074694
CHEMBL334050,77000.0,nM,C=C(COc1nc(N)nc2nc[nH]c12)c1ccccc1,4.113509274827518
CHEMBL334050,37500.0,nM,C=C(COc1nc(N)nc2nc[nH]c12)c1ccccc1,4.425968732272281
CHEMBL334050,39600.0,nM,C=C(COc1nc(N)nc2nc[nH]c12)c1ccccc1,4.402304814074488
CHEMBL270483,20000.0,nM,C#CCOc1nc(N)nc2[nH]cnc12,4.698970004336019
CHEMBL270483,11500.0,nM,C#CCOc1nc(N)nc2[nH]cnc12,4.939302159646388
CHEMBL270483,11900.0,nM,C#CCOc1nc(N)nc2[nH]cnc12,4.924453038607469
CHEMBL115498,1000000.0,nM,Nc1nc(OCC2CC=CCC2)c2[nH]cnc2n1,3.0
CHEMBL272692,1000000.0,nM,CCCOc1nc(N)nc2[nH]cnc12,3.0
CHEMBL407876,25000.0,nM,C=C(C)COc1nc(N)nc2[nH]cnc12,4.6020599913279625
CHEMBL407876,13500.0,nM,C=C(C)COc1nc(N)nc2[nH]cnc12,4.8696662315049934
CHEMBL407876,9900.0,nM,C=C(C)COc1nc(N)nc2[nH]cnc12,5.00436480540245
CHEMBL338717,1000000.0,nM,Nc1nc(OCC(=O)c2ccccc2)c2[nH]cnc2n1,3.0
CHEMBL272182,2600.0,nM,C=C(C)[C@H]1CC=C(COc2nc(N)nc3[nH]cnc23)CC1,5.585026652029182
CHEMBL270945,100000.0,nM,CCCCCCCOc1nc(N)nc2[nH]cnc12,4.0
CHEMBL272397,1000000.0,nM,CC1(C)OCC(COc2nc(N)nc3[nH]cnc23)O1,3.0
CHEMBL226395,428000.0,nM,COc1nc(N)nc2nc[nH]c12,3.3685562309868278
CHEMBL226395,248000.0,nM,COc1nc(N)nc2nc[nH]c12,3.6055483191737836
CHEMBL271593,1000000.0,nM,Nc1nc(OCC2CCCC2)c2nc[nH]c2n1,3.0
CHEMBL272690,1000000.0,nM,CC(C)C(=O)COc1nc(N)nc2nc[nH]c12,3.0
CHEMBL269872,1000000.0,nM,CC(C)CCOc1nc(N)nc2[nH]cnc12,3.0
CHEMBL338451,554000.0,nM,CCCCCCOc1[nH]c(N)nc2ncnc1-2,3.25649023527157
CHEMBL269881,1000000.0,nM,Nc1nc(OCC2CCCCC2)c2nc[nH]c2n1,3.0
CHEMBL405259,390.0,nM,Nc1nc(OCC2=CCCC2)c2nc[nH]c2n1,6.4089353929735005
CHEMBL405259,200.0,nM,Nc1nc(OCC2=CCCC2)c2nc[nH]c2n1,6.698970004336019
CHEMBL406495,1006000.0,nM,CCCCCOc1nc(N)nc2[nH]cnc12,2.9974020192800914
CHEMBL439608,550.0,nM,Nc1nc(OCC2=CCC2)c2[nH]cnc2n1,6.259637310505756
CHEMBL429409,1600.0,nM,Nc1nc(OCC2=CCCCC2)c2nc[nH]c2n1,5.795880017344075
CHEMBL337713,151000.0,nM,CCC(=O)COc1[nH]c(N)nc2ncnc1-2,3.8210230527068307
CHEMBL337713,94500.0,nM,CCC(=O)COc1[nH]c(N)nc2ncnc1-2,4.024568191490737
CHEMBL337713,93200.0,nM,CCC(=O)COc1[nH]c(N)nc2ncnc1-2,4.030584087646019
