molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL330863,128.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,6.892790030352131
CHEMBL124660,220.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,6.657577319177793
CHEMBL126699,8790.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,5.056011124926228
CHEMBL445636,1910.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)ncnc2cc1OCCCN1CCC(C)CC1,5.718966632752273
CHEMBL941,30000.0,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,4.522878745280337
CHEMBL124035,450.0,nM,COCCOc1cc2ncnc(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)c2cc1OC,6.346787486224656
CHEMBL125898,40.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,7.3979400086720375
CHEMBL125898,100.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCOCC1,7.0
CHEMBL107599,200.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1C,6.698970004336019
CHEMBL444064,70.0,nM,COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCN1CCCCC1,7.154901959985743
CHEMBL150894,1.6,nM,CC(C)OCc1ccc2c(c1)c1c3c(c4c(c1n2CCCO)Cc1ccccc1-4)C(=O)NC3,8.795880017344075
CHEMBL99743,3300.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc([N+](=O)[O-])cc4)CC3)c2cc1OC,5.481486060122113
CHEMBL104067,50.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,7.301029995663981
CHEMBL102346,230.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,6.638272163982407
CHEMBL323336,11400.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Br)cc4)CC3)c2cc1OC,4.943095148663527
CHEMBL106966,19700.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,4.705533773838407
CHEMBL553824,7020.0,nM,COc1cc2ncnc(N3CCN(C(=O)Nc4ccsc4)CC3)c2cc1OC.Cl,5.153662887870195
CHEMBL102301,14900.0,nM,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,4.826813731587726
CHEMBL319894,30000.0,nM,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC,4.522878745280337
CHEMBL196363,2.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2)c1,8.698970004336019
CHEMBL381207,27.0,nM,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,7.568636235841013
CHEMBL425749,10.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)c(F)c2)c1,8.0
CHEMBL371332,59.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)c(Cl)c2)c1,7.229147988357855
CHEMBL194366,140.0,nM,COc1cc(NC(=O)Nc2cccc(C)c2)ccc1-c1csc2ncnc(N)c12,6.853871964321762
CHEMBL371510,67.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2F)c1,7.173925197299173
CHEMBL196615,700.0,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4ncnc(N)c34)cc2Cl)c1,6.154901959985743
CHEMBL370545,130.0,nM,COc1cc(-c2csc3ncnc(N)c23)ccc1NC(=O)Nc1cccc(C)c1,6.886056647693163
CHEMBL262468,36.0,nM,Cc1cccc(NC(=O)Nc2ccc3c(c2)CCC2Sc4ncnc(N)c4C32)c1,7.443697499232712
CHEMBL372111,13700.0,nM,O=C(Nc1ccc2c(c1)CNc1c(Cl)ncnc1O2)Nc1ccc(Cl)c(C(F)(F)F)c1,4.863279432843593
CHEMBL199886,450.0,nM,O=C(Nc1ccc2c(c1)C=Nc1c(Cl)ncnc1O2)Nc1ccc(Cl)c(C(F)(F)F)c1,6.346787486224656
CHEMBL382490,900.0,nM,O=C(Nc1ccc2c(c1)CNc1cnc(Cl)nc1O2)Nc1ccc(Cl)c(C(F)(F)F)c1,6.045757490560675
CHEMBL199723,4000.0,nM,CN1CCN(CCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,5.3979400086720375
CHEMBL381738,20000.0,nM,CN1CCN(CCCc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,4.698970004336019
CHEMBL370800,20000.0,nM,CN1CCN(Cc2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,4.698970004336019
CHEMBL436509,5000.0,nM,CN1CCN(c2ccc(NC(=O)c3cc(-c4ccc5c(c4)OCO5)cnc3O)cc2)CC1,5.301029995663981
CHEMBL6246,40000.0,nM,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,4.3979400086720375
CHEMBL209084,1500.0,nM,O=C(c1cc2cc(F)ccc2[nH]1)c1cc2cc(OCCN3CCCCC3)ccc2[nH]1,5.823908740944319
CHEMBL210494,1300.0,nM,COc1ccc2cc(C(=O)c3cc4cc(OCCN5CCCCC5)ccc4[nH]3)[nH]c2c1,5.886056647693163
CHEMBL210420,700.0,nM,Cc1cccc2[nH]c(C(=O)c3cc4cc(OCCN5CCCCC5)ccc4[nH]3)cc12,6.154901959985743
CHEMBL377873,6700.0,nM,COc1ccc2cc(C(=O)c3cc4cc(OCCN(C)C)ccc4[nH]3)[nH]c2c1,5.173925197299174
CHEMBL210726,3400.0,nM,O=C(c1cc2cc(O)ccc2[nH]1)c1cc2c(Br)cccc2[nH]1,5.468521082957745
