molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL297008,60.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccccc1,7.221848749616356
CHEMBL289813,3230.0,nM,Cc1c(C=O)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.490797477668897
CHEMBL43736,80.0,nM,Cc1c(COc2cccc(Cl)c2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.096910013008056
CHEMBL140167,0.12,nM,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3CC2)cc1,9.920818753952375
CHEMBL44194,100000.0,nM,CCc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0
CHEMBL44290,1610.0,nM,CC(=O)c1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,5.79317412396815
CHEMBL288773,100000.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1Cc1ccc(F)cc1,4.0
CHEMBL44068,100000.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)[nH]1,4.0
CHEMBL44367,100000.0,nM,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1Cl,4.0
CHEMBL297409,100000.0,nM,CCCCn1c(C)ccc1-c1ccc(S(C)(=O)=O)cc1,4.0
CHEMBL43737,40.0,nM,Cc1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,7.3979400086720375
CHEMBL43511,14.0,nM,NS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,7.853871964321762
CHEMBL42801,100000.0,nM,Cc1c(CN(C)C)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0
CHEMBL1316,102.0,nM,CC(C(=O)O)c1ccc2c(c1)[nH]c1ccc(Cl)cc12,6.991399828238082
CHEMBL40245,20.0,nM,Cc1c(Br)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.698970004336019
CHEMBL43210,10200.0,nM,CS(=O)(=O)c1ccc(-c2cccn2-c2ccc(F)cc2)cc1,4.991399828238082
CHEMBL298231,100000.0,nM,CS(=O)(=O)c1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(F)cc2)cc1,4.0
CHEMBL44101,3880.0,nM,Cc1c(CO)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.411168274405793
CHEMBL44152,30.0,nM,Cc1c(COc2ccc(Cl)cc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.522878745280337
CHEMBL43664,4600.0,nM,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,5.337242168318426
CHEMBL43664,2400.0,nM,COc1ccc(-c2ccc(CCC(=O)O)n2-c2ccc(C(C)=O)cc2)cc1,5.619788758288394
CHEMBL298208,250.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,6.6020599913279625
CHEMBL43002,60.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.221848749616356
CHEMBL42121,100000.0,nM,CCS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,4.0
CHEMBL42409,120.0,nM,Cc1c(C(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.920818753952375
CHEMBL43957,510.0,nM,CS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,6.292429823902063
CHEMBL43366,750.0,nM,Cc1c(C#N)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.1249387366083
CHEMBL296307,100000.0,nM,Cc1ccc(-c2ccc(F)cc2)n1-c1ccc(S(C)(=O)=O)cc1,4.0
CHEMBL43864,520.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,6.2839966563652006
CHEMBL44244,60.0,nM,Cc1c(S(=O)(=O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.221848749616356
CHEMBL44313,1020.0,nM,Cc1c(C(=O)c2ccccc2)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.991399828238082
CHEMBL44362,1440.0,nM,Cc1c(C(O)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,5.841637507904751
CHEMBL42085,80.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(C(F)(F)F)cc1,7.096910013008056
CHEMBL43647,100000.0,nM,Cc1c(C(Oc2cccc(Cl)c2)C(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,4.0
CHEMBL143776,0.08,nM,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,10.096910013008056
CHEMBL297820,2870.0,nM,CC(=O)c1ccc(-n2c(C)ccc2-c2ccc(S(C)(=O)=O)cc2)cc1,5.542118103266008
CHEMBL42120,100000.0,nM,O=S(=O)(c1ccccc1)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,4.0
CHEMBL44283,50.0,nM,Cc1c(Cl)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,7.301029995663981
CHEMBL44038,140.0,nM,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,6.853871964321762
CHEMBL298281,100000.0,nM,CNS(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,4.0
CHEMBL43863,100000.0,nM,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C(C)C,4.0
CHEMBL294971,470.0,nM,CC(=O)OCc1cc(-c2ccc(S(C)(=O)=O)cc2)n(-c2ccc(F)cc2)c1C,6.327902142064283
CHEMBL44447,100000.0,nM,CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)n2-c2ccc(F)cc2)cc1,4.0
CHEMBL288570,100000.0,nM,CS(=O)(=O)c1cccc(-n2cccc2-c2ccc(F)cc2)c1,4.0
CHEMBL44421,100000.0,nM,CN(C)S(=O)(=O)c1ccc(-n2cccc2-c2ccc(F)cc2)cc1,4.0
CHEMBL43755,7500.0,nM,CN(C)S(=O)(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2ccc(F)cc2)cc1,5.1249387366083
CHEMBL91832,5.0,nM,CC1(C)C(=O)C(c2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,8.301029995663981
CHEMBL91118,1.2,nM,C=C1CC(c2ccc(S(C)(=O)=O)cc2)=C1c1ccccc1,8.920818753952375
CHEMBL92443,2.2,nM,C=C1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)C1(C)C,8.657577319177793
CHEMBL282185,730.0,nM,COC(=O)c1cc2cc(S(C)(=O)=O)ccc2n1C(=O)c1ccc(Cl)cc1,6.136677139879544
CHEMBL144658,34000.0,nM,CCCCSc1ccccc1OC(C)=O,4.468521082957745
CHEMBL145283,40000.0,nM,CCCCC#CCSc1ccccc1OC(=O)CC,4.3979400086720375
CHEMBL19286,100000.0,nM,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,4.0
CHEMBL19286,2000.0,nM,C[C@H](C(=O)O)c1ccc(C[C@@H]2CCC[C@H]2O)cc1,5.698970004336019
CHEMBL342799,12000.0,nM,CCCCCCC[Se]c1ccccc1OC(C)=O,4.920818753952375
CHEMBL145354,1000000.0,nM,CC(=O)Oc1ccccc1SCCCc1ccccc1,3.0
CHEMBL145493,40000.0,nM,CCCCCCC[S+]([O-])c1ccccc1OC(C)=O,4.3979400086720375
CHEMBL344960,50000.0,nM,CC(=O)Oc1ccccc1SCCCCC(=O)O,4.301029995663981
CHEMBL144414,50000.0,nM,CC(=O)Oc1ccccc1SCCCCC#N,4.301029995663981
CHEMBL144547,26000.0,nM,CCCCC#CCSc1ccccc1OC(=O)CBr,4.585026652029182
CHEMBL144944,40000.0,nM,CC(=O)Oc1ccccc1SC1CCCCCC1,4.3979400086720375
CHEMBL143339,2000.0,nM,CCCCCCCSc1ccccc1OC(C)=O,5.698970004336019
CHEMBL328003,110.0,nM,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)C2)cc1,6.958607314841775
CHEMBL420987,2.8,nM,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,8.55284196865778
CHEMBL145598,40000.0,nM,CCCCCCCCc1ccccc1OC(C)=O,4.3979400086720375
CHEMBL416542,25000.0,nM,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,4.6020599913279625
CHEMBL416542,22000.0,nM,CC(C(=O)O)c1ccc(CC2CCCC2O)cc1,4.657577319177793
CHEMBL122,530.0,nM,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,6.275724130399211
CHEMBL330516,61.0,nM,CC1(C)C(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)/C1=N/O,7.214670164989233
CHEMBL42485,2.1,nM,CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,8.67778070526608
CHEMBL345018,800.0,nM,CCCCC#CCSc1ccccc1OC(C)=O,6.096910013008056
CHEMBL6,5.9,nM,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,8.229147988357855
