molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL2180737,53100.0,nM,Cc1ccccc1C(C(=O)NC1CCNCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,4.274905478918531
CHEMBL2180738,19700.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cscn1)c1cccc(F)c1,4.705533773838407
CHEMBL2180739,19300.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1ccncc1)c1cccc(F)c1,4.714442690992226
CHEMBL2180743,7800.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CN)c1cccc(F)c1,5.107905397309519
CHEMBL2180746,7700.0,nM,Cc1ccccc1C(C(=O)NC1CCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,5.113509274827518
CHEMBL2180740,6300.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1c[nH]c2ccccc12)c1cccc(F)c1,5.200659450546418
CHEMBL2180397,5640.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CN1CCNCC1)c1cccc(F)c1,5.248720896016658
CHEMBL2180751,3600.0,nM,CN(C(=O)C(c1ccccc1)N(C(=O)Cc1cccs1)c1cccc(F)c1)C1CCCCC1,5.443697499232712
CHEMBL2180730,2900.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,5.5376020021010435
CHEMBL2180733,2880.0,nM,Cc1ccccc1C(C(=O)NC1CC1)N(C(=O)Cc1cccs1)c1cccc(F)c1,5.540607512240769
CHEMBL2180735,1800.0,nM,Cc1ccccc1C(C(=O)NCc1ccccc1)N(C(=O)Cc1cccs1)c1cccc(F)c1,5.7447274948966935
CHEMBL2180395,1630.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CN1CCCC1)c1cccc(F)c1,5.787812395596042
CHEMBL2180750,1400.0,nM,CC(C(=O)NC1CCCCC1)(c1ccccc1)N(C(=O)Cc1cccs1)c1cccc(F)c1,5.853871964321762
CHEMBL2180392,1270.0,nM,Cc1ccccc1C(C(=O)NC1CCCCC1)N(C(=O)CNC1CCCCC1)c1cccc(F)c1,5.896196279044043
